,Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,Decade
0,5293,1915-08-02,The Birth of a Nation,110000.0,11000000.0,10000000.0,1910
1,5140,1916-05-09,Intolerance,385907.0,0.0,0.0,1910
2,5230,1916-12-24,"20,000 Leagues Under the Sea",200000.0,8000000.0,8000000.0,1910
3,5299,1920-09-17,Over the Hill to the Poorhouse,100000.0,3000000.0,3000000.0,1920
4,5222,1925-01-01,The Big Parade,245000.0,22000000.0,11000000.0,1920
5,4250,1925-12-30,Ben-Hur,3900000.0,9000000.0,9000000.0,1920
6,4630,1927-12-08,Wings,2000000.0,0.0,0.0,1920
7,5141,1929-01-02,The Broadway Melody,379000.0,4358000.0,2800000.0,1920
8,4240,1930-01-01,Hell's Angels,4000000.0,0.0,0.0,1930
9,5043,1931-12-31,Mata Hari,558000.0,900000.0,900000.0,1930
10,5017,1933-07-04,King Kong,672000.0,10000650.0,10000000.0,1930
11,5234,1933-09-02,She Done Him Wrong,200000.0,2000000.0,2000000.0,1930
12,5120,1933-09-03,42nd Street,439000.0,2281000.0,1438000.0,1930
13,5154,1934-01-01,It Happened One Night,325000.0,2500000.0,2500000.0,1930
14,5025,1935-06-09,Top Hat,609000.0,3202000.0,1782000.0,1930
15,4738,1936-05-02,Modern Times,1500000.0,165049.0,163245.0,1930
16,4768,1936-06-26,San Francisco,1300000.0,5273000.0,2868000.0,1930
17,4814,1936-10-20,"Charge of the Light Brigade, The",1200000.0,0.0,0.0,1930
18,4756,1937-12-21,Snow White and the Seven Dwarfs,1488000.0,184925485.0,184925485.0,1930
19,4570,1938-01-01,Alexander's Ragtime Band,2000000.0,4000000.0,4000000.0,1930
20,4693,1938-01-01,You Can't Take It With You,1644000.0,4000000.0,4000000.0,1930
21,4712,1939-01-01,Mr. Smith Goes To Washington,1500000.0,9000000.0,9000000.0,1930
22,4447,1939-08-25,The Wizard of Oz,2777000.0,33754967.0,33711566.0,1930
23,4248,1939-12-15,Gone with the Wind,3900000.0,390525192.0,198680470.0,1930
24,4556,1940-01-01,Boom Town,2000000.0,9172000.0,9172000.0,1940
25,4783,1940-01-01,Rebecca,1288000.0,6000000.0,6000000.0,1940
26,4524,1940-11-13,Fantasia,2280000.0,83320000.0,83320000.0,1940
27,4789,1941-10-28,How Green Was My Valley,1250000.0,0.0,0.0,1940
28,4969,1942-08-13,Bambi,858000.0,268000000.0,102797000.0,1940
29,5283,1942-11-16,Cat People,134000.0,8000000.0,4000000.0,1940
30,4839,1943-01-23,Casablanca,1039000.0,10462500.0,10462500.0,1940
31,4457,1943-12-24,A Guy Named Joe,2627000.0,5363000.0,5363000.0,1940
32,4515,1944-01-01,Bathing Beauty,2361000.0,3500000.0,3500000.0,1940
33,3949,1944-01-08,Wilson,5200000.0,2000000.0,2000000.0,1940
34,4530,1945-01-01,The Valley of Decision,2160000.0,9132000.0,9132000.0,1940
35,4785,1945-01-01,The Lost Weekend,1250000.0,11000000.0,11000000.0,1940
36,4716,1945-10-31,Spellbound,1500000.0,7000000.0,7000000.0,1940
37,4327,1946-01-01,It's a Wonderful Life,3180000.0,9576159.0,6600000.0,1940
38,4545,1946-01-01,Notorious,2000000.0,24464742.0,24464742.0,1940
39,4533,1946-11-21,The Best Years of Our Lives,2100000.0,23600000.0,23600000.0,1940
40,3845,1946-12-31,Duel in the Sun,6000000.0,20400000.0,20400000.0,1940
41,4557,1947-01-01,Gentleman's Agreement,2000000.0,7800000.0,7800000.0,1940
42,4260,1948-01-01,The Pirate,3700000.0,2956000.0,2956000.0,1940
43,4361,1948-01-01,Red River,3000000.0,9012000.0,9012000.0,1940
44,4695,1949-01-01,She Wore a Yellow Ribbon,1600000.0,5400000.0,5400000.0,1940
45,4857,1949-01-01,Sands of Iwo Jima,1000000.0,7800000.0,7800000.0,1940
46,4434,1950-02-15,Cinderella,2900000.0,263591415.0,85000000.0,1950
47,4255,1950-05-17,Annie Get Your Gun,3768785.0,8000000.0,8000000.0,1950
48,3593,1951-02-23,Quo Vadis?,8250000.0,30022000.0,30000000.0,1950
49,4797,1951-03-07,Strangers on a Train,1200000.0,7000000.0,7000000.0,1950
50,4419,1951-07-28,Alice in Wonderland,3000000.0,0.0,0.0,1950
51,4666,1951-09-18,A Streetcar Named Desire,1800000.0,8000000.0,8000000.0,1950
52,4517,1951-09-24,Show Boat,2300000.0,11000000.0,11000000.0,1950
53,5009,1952-01-01,High Noon,730000.0,8000000.0,8000000.0,1950
54,4166,1952-10-01,The Greatest Show on Earth,4000000.0,36000000.0,36000000.0,1950
55,4468,1952-10-04,Singin' in the Rain,2540000.0,7200000.0,7200000.0,1950
56,4788,1953-01-21,Niagara,1250000.0,2500000.0,2500000.0,1950
57,4162,1953-05-02,Peter Pan,4000000.0,87400000.0,87400000.0,1950
58,4692,1953-05-08,From Here to Eternity,1650000.0,30500000.0,30500000.0,1950
59,5227,1953-06-13,"The Beast from 20,000 Fathoms",210000.0,5000000.0,5000000.0,1950
60,3969,1953-09-16,The Robe,5000000.0,36000000.0,36000000.0,1950
61,5018,1953-10-04,House of Wax,658000.0,23800000.0,23800000.0,1950
62,3999,1954-01-01,The Egyptian,5000000.0,15000000.0,15000000.0,1950
63,4959,1954-07-28,On the Waterfront,910000.0,9600000.0,9600000.0,1950
64,3973,1954-12-23,"20,000 Leagues Under the Sea",5000000.0,28200000.0,28200000.0,1950
65,4798,1955-03-10,The Trouble With Harry,1200000.0,7000000.0,7000000.0,1950
66,4705,1955-12-31,The King’s Thief,1577000.0,0.0,0.0,1950
67,3853,1956-01-01,War and Peace,6000000.0,12500000.0,12500000.0,1950
68,4119,1956-01-01,Moby Dick,4500000.0,10400000.0,10400000.0,1950
69,4177,1956-01-01,Trapeze,4000000.0,14400000.0,14400000.0,1950
70,4856,1956-01-01,Love Me Tender,1000000.0,9000000.0,9000000.0,1950
71,4310,1956-02-16,Carousel,3380000.0,3220.0,0.0,1950
72,3020,1956-05-10,The Ten Commandments,13500000.0,80000000.0,80000000.0,1950
73,3835,1956-10-17,Around the World in 80 Days,6000000.0,42000000.0,42000000.0,1950
74,5067,1956-11-19,Shichinin no samurai,500000.0,271736.0,271736.0,1950
75,4455,1956-12-01,Diane,2660000.0,0.0,0.0,1950
76,4804,1956-12-23,The Wrong Man,1200000.0,2000000.0,2000000.0,1950
77,4015,1957-01-01,A Farewell To Arms,5000000.0,11014685.0,11000000.0,1950
78,5152,1957-04-13,12 Angry Men,340000.0,0.0,0.0,1950
79,4337,1957-12-18,The Bridge on the River Kwai,3000000.0,33300000.0,33300000.0,1950
80,4348,1958-09-20,Cat on a Hot Tin Roof,3000000.0,17570324.0,17570324.0,1950
81,4016,1959-01-01,Solomon and Sheba,5000000.0,11000000.0,11000000.0,1950
82,4274,1959-01-01,The Nun's Story,3500000.0,12800000.0,12800000.0,1950
83,4440,1959-03-29,Some Like it Hot,2883848.0,25000000.0,25000000.0,1950
84,2802,1959-11-18,Ben-Hur,15000000.0,73000000.0,73000000.0,1950
85,4171,1960-01-01,Exodus,4000000.0,21750000.0,21750000.0,1960
86,4347,1960-01-01,The Apartment,3000000.0,24600000.0,18600000.0,1960
87,4357,1960-01-01,Elmer Gantry,3000000.0,10400000.0,10400000.0,1960
88,3151,1960-07-10,Spartacus,12000000.0,60000000.0,30000000.0,1960
89,3185,1960-10-24,The Alamo,12000000.0,7900000.0,7900000.0,1960
90,4189,1961-01-01,The Misfits,4000000.0,8200000.0,8200000.0,1960
91,4359,1961-01-01,Judgment at Nuremberg,3000000.0,10000000.0,10000000.0,1960
92,4436,1961-01-01,Pocketful of Miracles,2900000.0,5000000.0,5000000.0,1960
93,4558,1961-09-25,The Hustler,2000000.0,7600000.0,7600000.0,1960
94,3834,1961-10-18,West Side Story,6000000.0,43700000.0,43700000.0,1960
95,4322,1962-01-01,The Man Who Shot Liberty Valance,3200000.0,8000000.0,8000000.0,1960
96,4555,1962-01-01,Lolita,2000000.0,9250000.0,9250000.0,1960
97,3320,1962-04-10,The Longest Day,10000000.0,50100000.0,39100000.0,1960
98,2546,1962-08-11,Mutiny on The Bounty,19000000.0,13680000.0,13680000.0,1960
99,4122,1962-09-03,State Fair,4500000.0,3500000.0,3500000.0,1960
100,2827,1962-12-16,Lawrence of Arabia,15000000.0,69995385.0,37495385.0,1960
101,4550,1962-12-25,To Kill A Mockingbird,2000000.0,13129846.0,13129846.0,1960
102,2698,1963-01-01,55 Days at Peking,17000000.0,10000000.0,10000000.0,1960
103,4454,1963-01-01,Donovan's Reef,2686000.0,6600000.0,6600000.0,1960
104,4478,1963-05-29,Hud,2500000.0,10000000.0,10000000.0,1960
